tid	birth	sex	age	agegroup	place	area	region	country
ankarsrum_om1	1934	M	66	B	Ankarsrum	Småland	Götaland	Sweden
ankarsrum_om3	1940	M	60	B	Ankarsrum	Småland	Götaland	Sweden
ankarsrum_ym1	1973	M	27	A	Ankarsrum	Småland	Götaland	Sweden
anundsjo_om2	1924	M	75	B	Anundsjö	Ångermanland	Norrland	Sweden
anundsjo_ow3	1928	F	71	B	Anundsjö	Ångermanland	Norrland	Sweden
arjeplog_om1	1935	M	64	B	Arjeplog	Norrbotten	Norrland	Sweden
arsunda_ow1	1932	F	67	B	Årsunda	Gästrikland	Norrland	Sweden
arsunda_om1	1930	M	69	B	Årsunda	Gästrikland	Norrland	Sweden
arsunda_om2	1927	M	73	B	Årsunda	Gästrikland	Norrland	Sweden
arsunda_ow2	1929	F	70	B	Årsunda	Gästrikland	Norrland	Sweden
asby_om2	1933	M	66	B	Asby	Småland	Götaland	Sweden
asby_om3	1927	M	73	B	Asby	Småland	Götaland	Sweden
asby_ym1	1974	M	25	A	Asby	Småland	Götaland	Sweden
bara_om1	1939	M	59	B	Bara	Skåne	Götaland	Sweden
bara_ow1	1929	F	69	B	Bara	Skåne	Götaland	Sweden
bara_om3	1933	M	66	B	Bara	Skåne	Götaland	Sweden
bara_om4	1928	M	70	B	Bara	Skåne	Götaland	Sweden
bara_ow3	1924	F	74	B	Bara	Skåne	Götaland	Sweden
bengtsfors_om1	1922	M	77	B	Bengtsfors	Dalsland	Götaland	Sweden
bengtsfors_om2	1921	M	78	B	Bengtsfors	Dalsland	Götaland	Sweden
bengtsfors_ym2	1967	M	32	A	Bengtsfors	Dalsland	Götaland	Sweden
boda_om1	1942	M	56	B	Böda	Öland	Götaland	Sweden
boda_om3	1918	M	80	B	Böda	Öland	Götaland	Sweden
boda_ow1	1921	F	77	B	Böda	Öland	Götaland	Sweden
boda_ow3	1932	F	66	B	Böda	Öland	Götaland	Sweden
boda_ow2	1931	F	67	B	Böda	Öland	Götaland	Sweden
bredsatra_om2	1926	M	73	B	Bredsätra	Öland	Götaland	Sweden
bredsatra_om3	1927	M	72	B	Bredsätra	Öland	Götaland	Sweden
bredsatra_ow1	1927	F	72	B	Bredsätra	Öland	Götaland	Sweden
faro_om1	1939	M	60	B	Fårö	Gotland	Gotland	Sweden
faro_om3	1929	M	70	B	Fårö	Gotland	Gotland	Sweden
loderup_ow2	1924	F	255	B	Löderup	Skåne	Götaland	Sweden
floby_om1	1929	M	71	B	Floby	Västergötland	Götaland	Sweden
floby_om2	1926	M	74	B	Floby	Västergötland	Götaland	Sweden
floby_ym3	1971	M	29	A	Floby	Västergötland	Götaland	Sweden
fole_om1	1927	M	72	B	Fole	Gotland	Gotland	Sweden
fole_om2	1946	M	53	B	Fole	Gotland	Gotland	Sweden
fole_ym2	1969	M	29	A	Fole	Gotland	Gotland	Sweden
frillesas_om2	1928	M	71	B	Frillesås	Halland	Götaland	Sweden
frillesas_om3	1935	M	64	B	Frillesås	Halland	Götaland	Sweden
frillesas_ow2	1928	F	71	B	Frillesås	Halland	Götaland	Sweden
indal_om3	1946	M	53	B	Indal	Medelpad	Norrland	Sweden
indal_ow2	1949	F	50	B	Indal	Medelpad	Norrland	Sweden
indal_ow3	1937	F	62	B	Indal	Medelpad	Norrland	Sweden
jamshog_om1	1936	M	64	B	Jämshög	Blekinge	Götaland	Sweden
jamshog_om2	1940	M	60	B	Jämshög	Blekinge	Götaland	Sweden
jamshog_ow1	1939	F	61	B	Jämshög	Blekinge	Götaland	Sweden
kola_om1	1941	M	57	B	Köla	Värmland	Svealand	Sweden
kola_om2	1929	M	69	B	Köla	Värmland	Svealand	Sweden
kola_om4	NULL	M	0	B	Köla	Värmland	Svealand	Sweden
kola_ym3	1962	M	36	A	Köla	Värmland	Svealand	Sweden
kola_ym4	1973	M	25	A	Köla	Värmland	Svealand	Sweden
leksand_om1	1930	M	69	B	Leksand	Dalarna	Svealand	Sweden
leksand_om3	1947	M	52	B	Leksand	Dalarna	Svealand	Sweden
leksand_ow3	1925	F	74	B	Leksand	Dalarna	Svealand	Sweden
leksand_ow4	1930	F	69	B	Leksand	Dalarna	Svealand	Sweden
loderup_om3	1923	M	76	B	Löderup	Skåne	Götaland	Sweden
loderup_ow1	1936	F	63	B	Löderup	Skåne	Götaland	Sweden
nederlulea_om1	1935	M	64	B	Nederluleå	Norrbotten	Norrland	Sweden
nederlulea_ow1	1927	F	72	B	Nederluleå	Norrbotten	Norrland	Sweden
norrarorum_om2	1936	M	63	B	Norra Rörum	Skåne	Götaland	Sweden
norrarorum_om4	1928	M	71	B	Norra Rörum	Skåne	Götaland	Sweden
norrarorum_om1	1915	M	84	B	Norra Rörum	Skåne	Götaland	Sweden
norrarorum_ow1	1928	F	71	B	Norra Rörum	Skåne	Götaland	Sweden
orust_om1	1933	M	65	B	Orust	Bohuslän	Götaland	Sweden
orust_ow1	1927	F	71	B	Orust	Bohuslän	Götaland	Sweden
